"Metabolite","Category","HyPea.7404_3","HyPep.1510_1","HyPep.1510_2","HyPep.1510_4","HyPep.4601N_1","HyPep.4601N_2","HyPep.1510_3","HyPep.7504_1","HyPep.7504_2","HyPep.7504_3","HyPep.4601N_3","HyPea.7404_2","HY.YEST.412_1","HY.YEST.412_2","HY.YEST.412_3","HY.YEST.466_1","HY.YEST.466_2","HY.YEST.466_3","HY.YEST.503_1","HY.YEST.503_2","HY.YEST.503_3","HY.YEST.555_1","HY.YEST.555_2","HY.YEST.555_3","HyPea.7404_1","HyPep.YE_2","HyPep.YE_3","HyPep.YE_1"
"Pyroglutamic acid","Organic acids",0.00597877866666667,0.0136241577777778,0.0120175136666667,0.007230453,0.0420544834444444,0.0502185142222222,0.00860041266666667,0.00883114188888889,0.00677265644444444,0.00652447855555556,0.0190810284444444,0.00657708955555556,0.052349371,0.0497989375555556,0.0513989828888889,0.0651127653333333,0.0634878827777778,0.0701408443333333,0.0550833968888889,0.0597773951111111,0.0464811785555556,0.0525192814444444,0.0496113868888889,0.0537294725555556,0.0102392293333333,0.0493366097777778,0.0423903652222222,0.0410321911111111
"Quercetin-3-o-glucosyl-6''-acetate","Other",0.014513151,0.03558701,0.047480043,0.018809281,1.04741999206399e-06,1.02035918051941e-06,0.045335581,0.258624616,0.313046532,0.195894714,1.13611065221938e-06,0.003902952,0.003255129,0.00277707,0.009742165,0.002709004,0.002360669,0.003029312,0.009582011,0.004320153,0.005157758,1.04750941728582e-06,1.20661962765652e-06,0.023862939,1.06675470845892e-06,1.16775563964413e-06,1.28046216594201e-06,9.36878062637725e-07
"Rac-glycerol 3-phosphoate","Lipids",0.049041311,0.006110958,0.004851248,0.003463398,0.014178933,0.011818849,0.003904837,0.012102216,0.009159246,0.009175271,0.016289819,0.040920519,0.019645528,0.016538006,0.023429369,0.131689841,0.082753185,0.183750456,0.01862291,0.039411262,0.043837854,0.026845291,0.018226639,0.027836238,0.057446419,0.039414707,0.028459645,0.061076044
"Raffinose","Carbohydrates",0.006208562,0.052079753,0.054843896,0.049245148,0.089185531,0.078390893,0.050682772,0.18997934,0.150561893,0.154681289,0.083816638,0.009101427,0.001232147,0.000910509,0.00228143,0.000827072,0.001831892,0.00091735,0.002738296,0.001862351,0.002020246,0.001827178,0.0019756,0.001558098,0.005638946,0.001691724,0.001554425,0.00235559
"Retusin 7-methyl ether","Other",0.0475799635,0.031358062,0.0316841345,0.038071637,0.051032995,0.049834866,0.0322196485,0.0514576035,0.095296973,0.0463305225,0.04475118,0.048037923,0.0310354885,0.0502422565,0.035233852,0.018941639,0.022017443,0.0394211155,0.0329974045,0.0303493535,0.0503482145,0.0128822965,0.0185819905,0.013413079,0.033846103,0.012803592,0.020511973,0.009718691
"Riboflavin","Vitamins",5.63167546149221e-05,7.03423532451569e-05,5.9352887315104e-05,5.98095737109994e-05,0.000103295832680316,0.000168878894509391,8.62934072483038e-05,0.00449493633333333,0.00623498966666667,0.002376911,0.000111623250741872,5.13556251362555e-05,0.108944577,0.124785095,0.137991305,0.165013496666667,0.162764117,0.180257927666667,0.00307203233333333,0.006118725,0.00283291266666667,0.0136057793333333,0.0171517126666667,0.0457294983333333,4.70878723518474e-05,0.00563601533333333,0.00577684133333333,0.00639877233333333
"Rubiadin","Other",4.45770118454331e-05,0.147273,0.207321022,0.192662755,0.129094594664298,0.0015038895,0.1629402975,0.0239764295,0.121375435065005,0.003108899,0.0013584205,2.21316638469608e-07,0.0002189195,7.19367873883962e-05,0.000108642801102341,0.000291884602204681,0.0002916045,0.000392352,0.000161477722447129,0.000216804,0.000165274307913349,0.000916278,0.000279407680187623,0.000466899655752022,0.000337038,0.000875713377683825,0.000816553512437516,0.003729672
"Rutoside  (rutin)","Other",0.000267020910662916,6.6165940435104e-08,2.34117764866748e-05,8.9652516080669e-05,0.003032601,0.006651886,0.000105612921481493,0.350193007,0.409527177,0.2252068045,0.00402051243086154,0.000138730969789395,8.42024176655797e-08,7.69762628547103e-08,7.43730461941987e-08,7.08722429880775e-08,8.53763570913833e-08,6.78325222214607e-08,7.24800381765348e-08,6.89956000393596e-08,6.74515266629841e-08,7.45769764025234e-08,7.06185100657487e-08,7.21204346790259e-08,0.000493044246410373,6.5609520915641e-08,7.99773176435597e-08,0.000249440258920314
"S-adenosyl-homocysteine","Other",0.000650124666666667,0.00150434381495199,0.0013757090690779,0.00128293903997425,0.000184747251803476,0.000225352472303563,0.001320095,0.001204817,0.00117100312684055,0.000547765333333333,1.78341177205577e-05,0.00207853666666667,0.00152927453211773,0.00135894337187461,0.000991417666666667,0.216384327666667,0.123701861666667,0.415307791666667,0.0322397016666667,0.0160884533333333,0.02164507,0.00989164933333333,0.00155865166666667,0.062276657,0.001038828,0.0315137936666667,0.003667054,0.0492432573333333
"Sebacic acid","Lipids",0.015979605,8.11872652264109e-08,9.34340279645845e-08,8.88937531857903e-08,0.113451824,0.157677026,0.018603711,0.052983583,0.029309697,0.063209582,0.243191384,0.037971507,0.000775321,6.68447888900643e-08,7.18592799043223e-08,0.010109201,0.004139166,9.09356971040305e-08,0.058754232,0.031760448,0.069709482,0.049073143,0.02497283,0.01011844,7.15172034475225e-08,9.00572818163681e-08,0.001052302,0.007156863
