Metabolite,Hyd,avg,Category
"(1s,8r,9r)-8-Hydroxy-4-(Propan-2-Ylidene)-10-Oxatricyclo[7.2.1.01,5]Dodecane-8-Carboxylic Acid",HyPep.4601N_1,0.021092547,Other
"(1s,8r,9r)-8-Hydroxy-4-(Propan-2-Ylidene)-10-Oxatricyclo[7.2.1.01,5]Dodecane-8-Carboxylic Acid",HyPep.4601N_2,0.012350521,Other
"(1s,8r,9r)-8-Hydroxy-4-(Propan-2-Ylidene)-10-Oxatricyclo[7.2.1.01,5]Dodecane-8-Carboxylic Acid",HyPep.4601N_3,3.07E-06,Other
"(1s,8r,9r)-8-Hydroxy-4-(Propan-2-Ylidene)-10-Oxatricyclo[7.2.1.01,5]Dodecane-8-Carboxylic Acid",HyPep.7504_1,0.048391163,Other
"(1s,8r,9r)-8-Hydroxy-4-(Propan-2-Ylidene)-10-Oxatricyclo[7.2.1.01,5]Dodecane-8-Carboxylic Acid",HY.YEST.555_2,2.47E-06,Other
"(1s,8r,9r)-8-Hydroxy-4-(Propan-2-Ylidene)-10-Oxatricyclo[7.2.1.01,5]Dodecane-8-Carboxylic Acid",HY.YEST.555_3,3.51E-06,Other
"(1s,8r,9r)-8-Hydroxy-4-(Propan-2-Ylidene)-10-Oxatricyclo[7.2.1.01,5]Dodecane-8-Carboxylic Acid",HyPea.7404_1,0.328837591,Other
"(1s,8r,9r)-8-Hydroxy-4-(Propan-2-Ylidene)-10-Oxatricyclo[7.2.1.01,5]Dodecane-8-Carboxylic Acid",HyPea.7404_2,0.197357286,Other
"(1s,8r,9r)-8-Hydroxy-4-(Propan-2-Ylidene)-10-Oxatricyclo[7.2.1.01,5]Dodecane-8-Carboxylic Acid",HyPep.7504_2,3.47E-06,Other
"(1s,8r,9r)-8-Hydroxy-4-(Propan-2-Ylidene)-10-Oxatricyclo[7.2.1.01,5]Dodecane-8-Carboxylic Acid",HyPep.7504_3,0.01803053,Other
"(2-Oxo-2,3-Dihydro-1h-Indol-3-Yl)Acetic Acid",HY.YEST.412_1,0.000609197,Other
"(2-Oxo-2,3-Dihydro-1h-Indol-3-Yl)Acetic Acid",HY.YEST.466_1,0.001561165,Other
"(2-Oxo-2,3-Dihydro-1h-Indol-3-Yl)Acetic Acid",HY.YEST.466_2,0.001128273,Other
"(2-Oxo-2,3-Dihydro-1h-Indol-3-Yl)Acetic Acid",HY.YEST.412_2,0.001489706,Other
"(2-Oxo-2,3-Dihydro-1h-Indol-3-Yl)Acetic Acid",HY.YEST.412_3,0.001011483,Other
"(2-Oxo-2,3-Dihydro-1h-Indol-3-Yl)Acetic Acid",HY.YEST.503_2,0.001501989,Other
"(2-Oxo-2,3-Dihydro-1h-Indol-3-Yl)Acetic Acid",HY.YEST.503_3,0.00206789,Other
"(2-Oxo-2,3-Dihydro-1h-Indol-3-Yl)Acetic Acid",HY.YEST.466_3,0.001328127,Other
"(2-Oxo-2,3-Dihydro-1h-Indol-3-Yl)Acetic Acid",HY.YEST.503_1,0.00150355,Other
"(2-Oxo-2,3-Dihydro-1h-Indol-3-Yl)Acetic Acid",HY.YEST.555_1,0.00924789,Other
"(2-Oxo-2,3-Dihydro-1h-Indol-3-Yl)Acetic Acid",HY.YEST.555_2,0.009467084,Other
"(2-Oxo-2,3-Dihydro-1h-Indol-3-Yl)Acetic Acid",HY.YEST.555_3,0.000663147,Other
"(2-Oxo-2,3-Dihydro-1h-Indol-3-Yl)Acetic Acid",HyPea.7404_1,0.001305325,Other
"(2-Oxo-2,3-Dihydro-1h-Indol-3-Yl)Acetic Acid",HyPea.7404_2,0.009408519,Other
"(2-Oxo-2,3-Dihydro-1h-Indol-3-Yl)Acetic Acid",HyPea.7404_3,0.01151353,Other
"(2-Oxo-2,3-Dihydro-1h-Indol-3-Yl)Acetic Acid",HyPep.1510_1,0.012587581,Other
"(2-Oxo-2,3-Dihydro-1h-Indol-3-Yl)Acetic Acid",HyPep.1510_2,0.009879142,Other
"(2-Oxo-2,3-Dihydro-1h-Indol-3-Yl)Acetic Acid",HyPep.1510_3,0.000882816,Other
"(2-Oxo-2,3-Dihydro-1h-Indol-3-Yl)Acetic Acid",HyPep.1510_4,0.008885168,Other
"(2-Oxo-2,3-Dihydro-1h-Indol-3-Yl)Acetic Acid",HyPep.4601N_1,0.020078524,Other
"(2-Oxo-2,3-Dihydro-1h-Indol-3-Yl)Acetic Acid",HyPep.4601N_2,0.018608363,Other
"(2-Oxo-2,3-Dihydro-1h-Indol-3-Yl)Acetic Acid",HyPep.4601N_3,0.018410477,Other
"(2-Oxo-2,3-Dihydro-1h-Indol-3-Yl)Acetic Acid",HyPep.7504_1,0.263429443,Other
"(2-Oxo-2,3-Dihydro-1h-Indol-3-Yl)Acetic Acid",HyPep.7504_2,0.220403461,Other
"(2-Oxo-2,3-Dihydro-1h-Indol-3-Yl)Acetic Acid",HyPep.7504_3,0.307486655,Other
