,Metabolite.name,Adduct.type,Average.Rt.min.,HyPea-7404_1,HyPep-4601N_3,HyPep-7504_1,HyPep-7504_2,HyPep-7504_3,HyPep-YE_1,HyPep-YE_2,HyPep-YE_3,HY-YEST-412_1,HY-YEST-412_2,HY-YEST-412_3,HyPea-7404_2,HY-YEST-466_1,HY-YEST-466_2,HY-YEST-466_3,HY-YEST-503_1,HY-YEST-503_2,HY-YEST-503_3,HY-YEST-555_1,HY-YEST-555_2,HY-YEST-555_3,HyPea-7404_3,HyPep-1510_1,HyPep-1510_2,HyPep-1510_3,HyPep-1510_4,HyPep-4601N_1,HyPep-4601N_2
545,"2-[2-[(Z)-Pent-2-Enyl]-3-[3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxycyclopentyl]Acetic Acid",[M+NH4]+,18.395,0.000190875,0.000507904,0.000164692,0.000659713,0.00071396,0.000415304,6.89E-05,0.000668125,2.07E-08,0.000194286,2.72E-08,0.000116415,0.000270937,1.98E-08,0.000138664,2.52E-08,2.38E-08,0.001226424,0.00515163,0.000306481,0.000583412,0.000123663,0.278339133,0.285723325,0.230828573,0.19178196,0.001246076,0.0005794
546,Glu-Val-Phe,[M+H]+,9.317,0.000142587,0.011841658,0.00026001,0.000140312,0.00015225,0.000268206,0.002425556,0.000113133,0.000133083,0.001344355,0.005204248,0.418771133,0.000110259,0.009570065,0.023588702,0.158075879,0.08454616,0.001010885,0.057569133,0.051632203,0.029943,0.00042647,0.038170764,0.039390207,0.04078795,0.024126037,0.000121732,0.000134025
547,Glu-Val-Phe,[M+H]+,10.39,0.013597603,0.011733306,0.023872983,0.026486008,0.028896926,0.001847649,0.008574602,0.000220328,0.007733789,0.004296304,0.014291235,0.076326044,0.014413094,0.014483324,0.014373773,0.108723423,0.071263207,0.199835597,0.054168747,0.049047325,0.032559592,0.072431882,0.034462739,0.035954673,0.001835491,0.02451841,0.026466957,0.027584988
548,(-)-Riboflavin,[M+Na]+,17.042,6.90E-08,5.28E-08,0.004255752,0.006698324,0.002945441,0.00779077,0.008068956,0.007697452,0.094886677,0.140048889,0.198728497,5.79E-08,0.127196747,0.173678171,0.15750622,0.001861999,0.005092912,0.001276897,0.008213332,0.012291867,0.041760484,6.64E-08,5.32E-08,6.87E-08,6.72E-08,5.30E-08,6.67E-08,5.87E-08
549,Leu-Leu-Tyr; Lc-Esi-Qtof; Ms2; Ce,[M+H]+,17.75,0.042779565,0.008364555,0.103258773,0.108761488,0.147449998,0.000953629,0.000694839,0.000808703,0.005713013,0.001970238,0.001254089,0.113956432,0.012396059,0.005263428,0.007859375,0.02832916,0.024258769,0.060698563,0.017884921,0.015804749,0.013430281,0.107592666,0.045980556,0.043833315,0.040523098,0.030607486,0.004951838,0.004620413
550,Leu-Leu-Tyr; Lc-Esi-Qtof; Ms2; Ce,[M+H]+,16.064,0.130520159,0.009728556,0.042426992,0.035124405,0.043283948,0.00486889,0.001506933,0.005089502,0.010431531,0.005426646,0.002707163,0.16994027,0.000389098,0.013643269,0.022686109,0.039376887,0.027309375,0.02951355,0.023449927,0.020997478,0.020435867,0.113338989,0.036483309,0.034543822,0.03389531,0.027163389,0.046259227,0.049459398
551,Leu-Leu-Tyr; Lc-Esi-Qtof; Ms2; Ce,[M+H]+,16.859,0.023227496,0.007153075,0.113383995,0.13158496,0.133030587,0.003805501,0.005468661,0.004284472,0.007209835,0.011895599,0.011749985,0.027262372,0.024708693,0.007152937,0.022695706,0.069790228,0.042187379,0.03310781,0.055231151,0.048357563,0.013951748,0.037820695,1.35E-05,0.078900544,0.071609403,9.99E-05,0.007258096,0.007058052
552,Leu-Leu-Tyr; Lc-Esi-Qtof; Ms2; Ce,[M+H]+,17.261,0.022929606,0.005151449,0.123691571,0.138475958,0.129878337,0.006713235,9.67E-09,0.00774173,0.022782771,1.11E-08,0.0015128,0.026399165,0.011238181,0.004422186,0.006562241,0.069137462,0.047671024,0.045077866,0.058571991,0.064801251,0.016639527,0.006102568,0.065058995,0.057361377,0.014303041,0.047422112,0.000236804,0.000116732
553,1-Decanoyl-2-Hydroxy-Sn-Glycero-3-Phosphocholine; LC-ESI-QTOF; MS2; CE,[M]+,20.25,0.004118711,0.03373887,0.008627811,0.018273022,0.029519575,1.74E-07,1.84E-07,0.002900011,0.267952716,0.087663443,0.223965128,0.003519012,0.003999612,1.86E-07,0.004460908,0.027196415,0.031672293,0.039462075,0.003070715,0.002237282,0.017602678,0.004925751,0.032740904,0.028590022,0.016727225,0.017515618,0.039999269,0.049520391
554,Apigenin-7-O-Glucoside,[M+H]+,19.23,3.05E-08,0.000589983,0.001228282,0.000559163,0.000601486,0.000422398,2.32E-08,3.15E-08,0.000466519,0.000431296,0.001523412,2.89E-08,2.75E-08,0.000243056,2.95E-08,0.001087898,0.000857036,2.42E-08,2.62E-08,0.000356885,0.001127985,3.29E-08,0.2247529,0.293184692,0.228992784,0.241382268,0.000991842,0.00119986
