"Average.Rt.min.","Adduct.type","Metabolite.name","Blank_1","Blank_2","Blank_3","Blank_4","Pool_1","Pool_2","HyPea-7404_1","HyPep-4601N_3","HyPep-7504_1","HyPep-7504_2","HyPep-7504_3","HyPep-YE_1","HyPep-YE_2","HyPep-YE_3","HY-YEST-412_1","HY-YEST-412_2","HY-YEST-412_3","HyPea-7404_2","HY-YEST-466_1","HY-YEST-466_2","HY-YEST-466_3","HY-YEST-503_1","HY-YEST-503_2","HY-YEST-503_3","HY-YEST-555_1","HY-YEST-555_2","HY-YEST-555_3","HyPea-7404_3","HyPep-1510_1","HyPep-1510_2","HyPep-1510_3","HyPep-1510_4","HyPep-4601N_1","HyPep-4601N_2"
14.798,"[M+H]+","Tryptophan",NA,31443,29045,41807,1215488,940043,82339,449121,202194,207041,161586,362517,529099,321088,394759,486668,720452,83693,786645,1345483,567145,817131,572655,90099,1988152,415443,733018,85777,896608,837522,981941,551892,252690,346721
6.943,"[M+H]+","TRYPTOPHAN",6248,111113,126859,136753,5605468,4382463,1260801,1789067,112524663,1686699,1675627,3073715,3329394,3174529,442308254,497092076,5895396,8199525,541390732,5612700,492819550,2567930,2108082,1335318,2916742,2557124,3295795,9828561,2966566,2919065,2648282,2221706,2313084,2532375
15.073,"[M+H]+","TRYPTOPHAN",4406,32027,31265,36803,1063958,776875,463674,450579,228187,149036,209568,574874,686102,420028,643266,956186,995866,90387,1439257,641008,1509962,381812,340070,918632,289651,2021490,797697,79699,535524,945201,1075064,866832,224343,335122
17.49,"[M+H]+","TRYPTOPHAN",7405,19833,13966,23948,890733,766108,230101,297401,781080,799901,912820,549629,329792,433197,961412,690481,968021,43231,1070150,1087592,716948,871862,584080,553048,540759,430974,567684,249696,965451,811055,717826,533228,1185763,952105
15.389,"[M+H]+","TRYPTOPHAN",NA,13030,31285,27199,1111894,921385,416850,494406,666857,615578,726913,587428,725820,550181,643266,846300,761580,414081,1358625,1744353,851254,918724,668652,273089,825968,820379,683453,437519,1236181,1101532,1078234,798769,584723,558625
11.332,"[M+H]+","TRYPTOPHAN",NA,50309,58928,55811,1438621,1104865,359241,236079,622937,539187,625286,3390796,559531,962799,910085,1117887,1088831,462118,1377757,1384013,1338225,1248547,883619,278760,816781,688805,898393,438478,944539,894867,361737,575812,405630,400263
18.061,"[M+H]+","TRYPTOPHAN",NA,16905,18046,9919,871807,703312,263419,166971,265072,230764,498337,346689,464650,434120,781279,864726,717159,224029,962640,485598,1205479,773830,540822,671110,569536,447028,566313,298371,421412,937816,927765,989388,337015,307094
9.521,"[M+H]+","N-Acetylphenylalanine",5081,8669,7764,7764,3273355,2412956,61308,50818,906773,913512,791205,10811263,20344723,3996804,4306506,6591554,2751507,30345,1170320,700409,973887,1482329,839508,663025,356786,271252,863649,12563,271085,314222,17940,301360,210668,178911
3.748,"[M+H]+","Kynurenine",4723,213221,187325,155378,2935121,2794704,406015,8912585,1544119,1316760,1151086,1989991,1803345,1665987,2111484,1967788,1613975,354034,2569118,2162998,2970906,523530,523341,488770,505841,305768,1467624,394684,8502505,9553810,8355290,7655142,4612166,4958737
15.551,"[M+H]+","Cyclo(Leu-Pro)",13577,58906,66533,70952,272188727,276359285,1470576,630538764,1389733,49030043,1175366,147580214,251892337,83683070,138972136,1474581,302122511,1619190,666451,76772474,38282750,7604805,11615759,3981890,6322192,6511580,21213176,1673175,382190901,450873218,439371764,367328596,314510871,679240524
16.599,"[M+H]+","Cyclo(Leu-Pro)",8985,59659,61004,50194,948112,1484358,4877852,3550532,62041066,2995388,57407253,274587450,1227634,196629618,348715188,279160382,1090980,5690301,518013,531491,79628002,236264,227484,5022731,201146,179201,268002,6818424,2363890,1971999,1921574,2200361,634468524,679240524
13.24,"[M+H]+","Cyclo(Leu-Pro)",5402,73871,68441,71361,92673562,85607718,684579,36538034,602888,318602,504369,424979,27674124,489799,616717,836940,124143474,612814,768884,1171754,675613,891015,577499,207724,204589,372814,504767,668566,430343004,469552178,442677202,387241633,701420,721384
6.554,"[M+H]+","Cyclo(Leu-Pro)",NA,120513,125274,117168,2128688,2228262,1267935,1624950,3427734,2161493,2258917,2015654,2366228,2049195,2168044,2027900,2642357,1167801,1154803,1056513,1115902,994410,983384,724474,321418,298497,465377,1222324,2377651,2439869,2101664,587600,2063601,2419124
14.471,"[M+H]+","Cyclo(Leu-Pro)",7164,64214,70160,69137,173816034,165803654,128909,285513446,30132196,20448858,2231314,34589152,64492632,15290866,4881467,3530971,1167912,100692,30690616,656147,803074,351158,7869208,505686,2637644,334393,393036,91314,664127066,762994804,735766794,626529206,38015537,306100774
14.055,"[M+H]+","Cyclo(Leu-Pro)",5910,73137,69745,62866,144414150,141934026,99881,285513446,8398920,3957819,254322,432076,135040762,430106,503792,602910,1157608,123637,965927,29507440,413692,6436868,236862,212262,183113,2317789,8826367,128926,664127066,762994804,735766794,626529206,552576,29248207
3.346,"[M+H]+","Pantothenic acid",7776,16623,25531,22267,28347880,23535414,2352015,1411775,6197834,6261794,5372402,48978920,35227446,59929244,21433090,51347933,27327595,2059606,48347008,55510430,57666081,48920745,28487126,27815018,18525959,14828656,19902857,1992128,8023571,8299737,6684421,6083079,2370698,1748383
16.557,"[M+H]+","Zeatin",19295,21706,17433,20338,11128792,11316653,15136,14092,65034,174189,45045,1459513,2433634,2775047,909381,5409448,420867,45220,100355124,5900067,2227141,327769,696756,37374,2444758,494045,28689935,32478,16340,26427,30014,11648,14339,14447
22.476,"[M+H]+","(2R)-5-methoxy-2-methyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one",11268,23414,31806,14331,1813370,1634349,20246,15454,798696,509902,876578,228013,352459,314787,9987423,6357408,4747236,22536,691504,1014563,1881832,307906,334314,143906,545991,419472,1041610,39491,13825,11002,21388,46272,810763,234021
26.741,"[M+H]+","(2R)-5-methoxy-2-methyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one",12609,NA,NA,NA,11673,NA,NA,NA,NA,NA,NA,NA,NA,NA,44857,NA,NA,NA,NA,NA,NA,424328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.823,"[M+H]+","Gly-Tyr",141831,43603,41394,53640,29053958,28227673,17159799,21639182,32879425,28037326,28885597,8021766,9033853,8214803,18849375,20146067,19635956,19493146,20448384,24700355,18886352,66469682,56916106,64615934,41531489,39827478,16807115,19292485,4336358,4400086,4380828,4014068,26752168,29462358
13.169,"[M+H]+","Cordycepin",8392,38658,28991,11112,4124288,3560961,604892,3843180,1787775,1015821,1094307,2256073,5212447,3510788,3947233,4890073,3835670,536708,14967909,3001790,5357979,6439903,3991214,1374362,1527202,324670,3147110,362191,6902,27056,6722,83286,8737582,6684566
20.66,"[M+H]+","7,2'-Dihydroxyflavone",NA,NA,NA,NA,1643714,2293799,NA,23776,2619296,12709106,311619,531683,59547,14048,19080,NA,24475,NA,NA,NA,NA,30294,12015,NA,11518,NA,12932,NA,5436843,7443512,6404533,9412991,12333946,NA
18.406,"[M+H]+","7,2'-Dihydroxyflavone",13130,13917,13684,27428,686031,724688,NA,NA,11080,7558,NA,9587,7620,10197,12284,6961,12358,NA,8109,9122,NA,NA,NA,NA,NA,NA,NA,NA,3720582,5187825,4252277,4009489,NA,NA
1.734,"[M]+","sn-Glycero-3-phosphocholine; LC-ESI-QTOF; MS2; CE",83407,9333,9231,46564,571443033,564127107,63036688,46083298,155019211,163435513,210770216,1035176114,861905530,962066508,482842540,746206196,591477781,67844057,1700917482,1727742296,1696888400,124053261,144917978,216222588,198556167,224545881,807421578,72371428,65246112,61693398,64913753,71057725,33422421,36596833
21.483,"[M+H]+","Luvangetin",NA,NA,NA,12148,401577,519464,NA,NA,4094267,5589410,3639857,20728,NA,NA,NA,11614,NA,NA,NA,8177,14618,85781,14550,NA,15550,NA,13678,12970,19239,15987,34844,27590,NA,NA
21.08,"[M+H]+","Luvangetin",NA,NA,NA,NA,401577,210443,NA,NA,1364595,1612512,1494145,20728,NA,NA,NA,NA,NA,NA,523493,515137,487530,NA,18188,NA,247069,225131,259000,17874,NA,NA,NA,NA,NA,NA
2.537,"[M+H]+","gamma-Glutamylleucine",NA,100334,101461,91358,45401196,39717524,62010400,19726954,87130074,28957199,31008573,45727929,55545972,50880351,64827927,7957584,13745412,68260662,52277684,45967906,39000283,117295078,84685426,118709206,88451838,79141350,42253194,62095974,8937782,9314421,8440070,4121041,25137125,28662275
4.38,"[M+H]+","gamma-Glutamylleucine",4262,108609,115248,99960,3269362,969494,676299,203148,2946686,2110944,300285,2258670,2978784,2279213,3786453,2311221,1053692,2142831,1975957,5535720,6691568,6581556,5472531,519218,551644,462211,4108809,948222,612800,1190351,570922,1210484,11369361,64937
12.33,"[M+H]+","Methohexital",NA,88386,101108,99123,580659,576646,233007,175302,435836,153251,457731,364442,343821,305362,577334,450672,239752,263742,545967,162121,675974,197710,223318,685558,166225,163634,420196,296677,542784,1416177,1317861,420577,635858,665356
2.085,"[M]+","Thiamine; LC-ESI-QTOF; MS2; CE",72003,50327,58973,66936,7375651,8276772,47302886,35651085,712686,56019593,79669436,3745060,3307201,6032853,16160528,11647521,15093380,51112880,43994683,26826626,31754522,21790910,26998157,29621953,5162243,5269000,16114313,44271529,374217,391889,389864,486653,27538934,32907831
7.572,"[M+H]+","Adenosine; LC-ESI-QTOF; MS2; CE",NA,238789,158191,96184,486737,810640,378364,270448,84582,163810,198698,757348,1184932,1232989,1345341,1627840,997580,215544,1408504,1483363,1905751,1875763,1283927,687000,565421,573201,916102,132312,49993,83228,136201,153418,65977,47790
28.684,"[M+H]+","Adenosine",14979,203500,133664,70110,1099684,1414158,383181,62144,416145,447955,580240,2043123,2736270,3044087,2719109,2043238,1811806,229289,2224514,4142926,4380174,2383874,1521989,1054740,888126,906058,1291629,130088,137940,159338,163450,173133,134059,104709
15.421,"[M+H]+","Adenosine; LC-ESI-QTOF; MS2; CE",5129,324693,219570,127095,1701474,1643798,532042,70946,994023,783760,939126,3575543,3093215,2466413,3019984,1955571,1835591,278441,1847511,6274305,7272002,2248144,1277871,821413,709692,710537,1154310,202652,208019,222707,231427,225874,253660,179544
11.723,"[M+H]+","Adenosine; LC-ESI-QTOF; MS2; CE",6694,311875,201792,127918,2734440,3219931,27361446,128613,364218194,1995691,312914088,785942560,3480178,232073428,163794586,67987606,1489925,21678310,3006998,19123942,1129815424,2957674,1991933,30028574,732293,705474,2836166,28639835,433385,458327,373165,436043,74099473,65817624
10.296,"[M+H]+","Adenosine; LC-ESI-QTOF; MS2; CE",6694,243170,198381,116072,359416307,344795359,421621,24489394,108602,224236666,226694,667303,397538194,1709374,1552873,1211656,101798715,228305,101956475,1407163688,2219925,196258001,107504864,733856,24594430,49676321,293585730,115705,79092469,93929377,79525871,77172892,434678,364562
19.23,"[M+H]+","Genistein; LC-ESI-QTOF; MS2; CE",NA,NA,NA,NA,359089,388981,NA,NA,NA,NA,NA,29646,30319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2149680,2838804,2122477,2246897,NA,NA
21.68,"[M+H]+","Baicalein",NA,NA,NA,NA,227505,248420,NA,NA,283158,3049283,19010,13532,NA,NA,270913,141275,296808,NA,344831,284703,363731,90425,50844,NA,89157,74450,190927,NA,328763,386467,437885,356509,1356813,NA
11.71,"[M+H]+","Sotalol; LC-ESI-ITFT; MS2; CE",NA,NA,7096,7082,481700,537026,NA,321212,248959,251253,22016,27204,2751338,13963,9557,411267,284194,8080,11226,7736,12865,144991,211656,9117,11185,6433,67565,NA,192233,227391,207821,279136,11823,418484
13.185,"[M+H]+","Sotalol; LC-ESI-ITFT; MS2; CE",5654,6533,NA,7770,112463,19403,7883,9297,10394,9207,197196,7904735,30673,2790055,520767,274112,14318,9032,10114,10288,274797,13933,223910,129907,100179,116001,21623,7848,22845,9589,28306,7568,587071,11553
1.87,"[M+H]+","L-Saccharopine; LC-ESI-QTOF; MS2; CE",47993,NA,NA,NA,832661,814428,421662,122028,340773,247120,456442,7810813,2291591,2077125,138755,1377506,96158,965350,16276128,4644159,13863636,644122,4806210,2276467,2871146,693186,1860903,336749,302070,367080,385138,276376,183252,207059
21.933,"[M+H]+","3-(5,7-dimethoxy-4-oxochromen-2-yl)propanoic acid",852557,1350481,1386624,1384902,1293103,1185478,1375272,1232785,1221885,1149003,1210682,1171426,1230953,1179747,1109175,1128966,1193998,1304647,1186065,1166221,1221114,1151761,1254622,1147333,1177876,1208616,1216795,1226392,1248026,1244546,1217990,1246930,1192384,1248754
3.422,"[M+H]+","Asp-Phe",5361,NA,NA,NA,10473495,9731976,9877001,1240177,9650326,7504761,9582137,3023539,3489109,2218699,4138000,4589736,3961137,1307347,11330832,8228958,11650754,22885092,17027471,19300553,10727028,10621178,7312887,8396424,2967729,3193706,3074723,5327558,9247100,10797428
13.818,"[M+H]+","1-Methyladenosine",NA,NA,NA,NA,5443884,5018040,NA,2641876,11954,12972,10742,6841,11351378,9040,11706,6706,3936356,NA,9860,2939681,112365,12589146,9728516,32767,36820,20758679,6384274,235774,9301,251823,408253,236709,41890,11130
14.48,"[M+H]+","2'-O-Methyladenosine",NA,NA,NA,NA,5908913,6457694,244574,13322,11702845,10995196,11369231,31135059,65961,2314989,2004711,1882825,14013,134635,16337400,16490453,1583511,6526934,4440113,8443249,2722658,570182,3791498,235774,528627,524963,98214,542139,2563420,6255750
20.636,"[M+H]+","5-O-Methylgenistein",NA,NA,NA,NA,254091,451840,NA,NA,254855,2765045,NA,NA,NA,NA,1010874,424466,1334295,NA,241988,299846,159287,171137,127328,NA,NA,NA,537839,NA,2115098,2491820,1975434,3055364,510798,NA
5.976,"[M+H]+","Xanthosine",NA,NA,NA,NA,516149,492179,347697,NA,3116219,3096748,2300166,870515,416943,74315,31446,13032,62465,379684,10826,76328,61314,140844,42355,9472,82870,167650,13544,204712,800515,841992,667098,549424,10731,NA
17.051,"[M+Na]+","9-(2,3-dihydroxypropoxy)-9-oxononanoic acid",52912,62211,62418,55300,248436,269957,11816,19954,24738,34898,306974,235350,64305,18768,378303,1175514,2122596,15692,969051,608382,608187,441548,376079,8005,364798,352162,554217,13485,52432,43204,23014,43003,24406,23932
18.972,"[M+H]+","Luteolin",NA,NA,NA,NA,699197,761915,20982,NA,6549749,6379266,4162492,NA,NA,NA,NA,NA,107434,10924,NA,NA,NA,NA,NA,NA,NA,NA,NA,29103,NA,13547,9936,NA,NA,NA
18.52,"[M+H]+","Luteolin",NA,NA,NA,NA,419712,477172,429661,NA,3654020,4113018,2798470,NA,NA,NA,NA,NA,NA,568104,NA,NA,NA,NA,NA,NA,NA,NA,NA,572086,NA,13547,9012,NA,NA,NA
17.084,"[M+H]+","5'-S-Methylthioadenosine; LC-ESI-QTOF; MS2; CE",8233,11339,12232,6458,24617689,23743161,191801,27472,347039,388631,310791,32919873,36458644,18235066,2901233,15387033,7866267,124922,136228936,174604054,158171311,27346457,5147150,1085476,1923627,1291528,16486261,199529,214197,596106,534259,495515,52731,53607
11.332,"[M+H]+","RETUSIN 7-METHYL ETHER",6074,NA,8596,9416,546067,509096,1795746,188286,5809689,5049306,5222517,1095621,191749,1089761,1646936,2663852,281432,2547142,2151172,109740,2090919,132144,135986,2669462,36138,23321,54501,2522895,1983546,1937696,1904463,2423468,5660604,5569863
10.36,"[M+H]+","RETUSIN 7-METHYL ETHER",NA,NA,NA,6999,2803467,2661035,1795746,4279072,40053,5049306,44011,14678,1108989,1089761,1646936,2663852,3254334,2547142,8164,2093927,2090919,3162860,2896999,2669462,1252539,1828748,1289138,2522895,1385271,1457593,1539671,1667041,128015,88399
21.796,"[M+H]+","Diosmetin",NA,NA,NA,NA,116458,224662,NA,NA,NA,NA,NA,NA,NA,NA,438608,237515,387070,NA,575094,378535,403612,173367,105706,46010,107342,141105,242393,NA,NA,NA,NA,NA,20126,NA
18.7,"[M+H]+","(4S,5Z,6S)-4-(2-methoxy-2-oxoethyl)-5-[2-[(E)-3-phenylprop-2-enoyl]oxyethylidene]-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4H-pyran-3-carboxylic acid",NA,NA,NA,NA,333546,588898,NA,64781,4659345,5509860,3518519,18419,11401,NA,14307,16816,10554,NA,14004,NA,40825,379661,211167,342467,35280,21126,27992,NA,185044,149976,155048,111204,126276,79235
18.325,"[M+H]+","(4S,5Z,6S)-4-(2-methoxy-2-oxoethyl)-5-[2-[(E)-3-phenylprop-2-enoyl]oxyethylidene]-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4H-pyran-3-carboxylic acid",NA,NA,NA,NA,382556,724097,NA,64781,5562144,6168311,4376035,22480,11401,NA,16964,16816,10554,NA,14004,NA,40825,379661,211167,342467,35280,21126,27992,NA,185044,149976,155048,111204,126276,79235
15.897,"[M+H]+","Indole-3-acetyl-L-glutamic acid",NA,NA,NA,NA,450648,441696,41669,26055,3387937,3436472,8094,29389,6910,102907,10446,27593,376805,30442,5987,348460,8489,NA,6240,NA,310800,170782,165407,50284,72387,92283,116996,121682,10986,21274
16.609,"[M+H]+","Indole-3-acetyl-L-glutamic acid",NA,NA,NA,NA,226188,202946,41669,26055,3387937,25134,3361714,711366,403141,430168,616805,422810,376805,30442,496887,348460,622058,NA,11388,NA,310800,170782,165407,50284,12154,8734,13659,22018,NA,21274
2.125,"[M+H]+","Glutathione (reduced)",NA,NA,NA,NA,1621165,512948,699116,104270,208276,392182,76084,706908,268572,499064,810311,643921,3486563,633764,15965103,26548729,4573423,152067,278928,240438,14210421,2200198,2203607,491769,913499,870115,874992,678932,141953,117122
4.05,"[M+Na]+","2-methyl-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypyran-4-one",NA,NA,NA,NA,752344,589386,554469,63527,175355,191451,142761,NA,NA,NA,NA,NA,NA,924740,NA,NA,NA,NA,15379,NA,NA,NA,NA,905922,3307514,3372950,3744033,3746580,24116,34722
3.168,"[M+H]+","gamma-Glutamyltyrosine",27225,NA,NA,NA,11397786,11290436,18256483,2952075,4339224,4317768,4884674,11468911,10502183,7002158,1032282,1996727,2898272,23769473,9782396,11884426,7196629,21915392,13379194,19576148,13258210,12693770,6825012,18527627,63771959,67861600,58410805,50208566,3002202,3832399
20.506,"[M+H]+","feruloyltyramine",NA,NA,NA,NA,532279,651290,NA,NA,NA,NA,350137,110620,NA,NA,2089789,1950617,2180180,NA,398441,324205,311305,3976311,1032732,2400953,60328,71901,142217,NA,NA,NA,NA,NA,NA,NA
28.385,"[M+Na]+","Cryptotanshinone",427050,307231,402369,406567,529169,339594,311874,302912,350981,366643,366043,232361,254420,274136,303975,299367,302608,326389,283594,329576,276323,351764,336035,303750,272956,277798,276390,132308,405450,486883,284233,374146,453432,434553
22.553,"[M+H]+","Derrustone",NA,NA,NA,NA,135699,169810,NA,10039,NA,NA,13254,NA,NA,NA,1379038,634770,777410,NA,NA,9970,12061,195432,349426,381215,NA,NA,20441,NA,NA,NA,NA,NA,NA,NA
10.082,"[M+H]+","Adenosine 3',5'-cyclic monophosphate",NA,NA,NA,NA,18146624,16757531,NA,124840,3420463,2722431,1922960,7262014,23543308,32315049,31196150,16692216,24517064,50379,58661088,62023124,24092971,2315121,2842013,1387250,7704467,9311604,23328311,12625,2686199,3584002,2979120,2655033,84758,61985
5.778,"[M+H]+","2'-Deoxyadenosine-5'-monophosphate",NA,NA,NA,NA,1362615,1231157,171166,1861338,114750,121089,159837,294756,175422,94101,82020,61347,152133,331778,22924,13216,16784,7424968,2827678,1457174,1783538,721225,405398,179580,NA,25752,16621,8950,3045912,2450849
24.14,"[M+H]+","Isopongaflavone",1350705,345993,340510,285263,1360624,370389,412209,208288,162849,201691,205852,261036,150965,151317,126691,143914,120621,348612,159622,374590,432028,376483,180077,162460,117228,368209,369520,292981,253265,212308,256567,184937,219236,206683
18.998,"[M+H]+","N6-Isopentenyladenosine",NA,NA,NA,NA,1943777,2010835,11258,NA,119949,59488,136794,887558,1095763,489339,687336,441925,750383,46089,269946,16350740,14104630,2317507,1463029,1718040,322919,2382628,2846792,17540,148013,67922,235489,157477,37226,29811
23.259,"[M+H]+","Carpachromene",16798784,8464888,7692491,7716561,18041727,8680314,7181306,4977315,5063710,4914491,5182090,5752164,3739220,3360495,3251998,2972595,3268633,6995293,3545107,8453920,8826642,7948791,3735540,3651989,3121183,8104748,8484227,6973910,6749380,6305665,5898108,5115903,5510526,5544917
24.652,"[M+H]+","Erucamide",335399,422085,429264,416475,328663,1057279,397315,523415,475028,628322,564825,614052,590248,650637,617585,690791,757327,345605,656119,903349,819900,903405,852600,872239,1026904,1170502,1067140,455520,489385,479922,493701,504371,529068,515575
25.36,"[M+H]+","Erucamide",805511,1139392,1035102,1201241,1053606,1022511,1059324,1113077,1068916,1144180,1093634,1030362,1096171,1002123,978665,966183,992038,1138979,980601,1174765,1050197,1219688,1115251,1046239,1002522,1127692,1128773,1234395,1252824,1175581,1167819,1177095,1118980,1193212
25.76,"[M+H]+","Erucamide",3263409,6137851,6202836,6530585,5751120,3397918,3671639,3236745,3289115,2727886,3595649,2971963,2611108,2517667,3047086,3060293,2061640,4946432,2604105,3895289,3049068,5870235,3489082,2472608,2243411,3427603,3397280,4121910,3294378,3552424,3489672,2960812,2999126,2977964
1.803,"[M+H]+","Maltose",NA,NA,NA,NA,4468302,5100832,3613992,1931000,24904078,24100702,23106030,2691641,3196331,3617844,299727,215043,411642,3614964,367915,332313,327186,455990,704463,487225,309950,387477,338520,2807749,26645314,26189884,26468509,25947578,1469212,1411941
14.408,"[M+H]+","Tyr-Tyr",NA,NA,NA,NA,17612,19352,NA,7038,420784,103239,68574,11627,119081,6705,13094,205805,24798,NA,201908,201956,210180,63605,105139,196961,7730,NA,7930,9088,NA,9299,6092,6546,902804,8251
9.828,"[M+H]+","Tyr-Tyr",NA,NA,NA,NA,19326951,18493730,3913650,60254098,9311017,7449714,8937970,857013,774874,1498019,3179745,3731318,2922662,6272871,8571951,10136797,10109173,12101556,7445217,9545476,7410950,6777270,5651863,5179768,9958741,10005320,10053008,6421235,81249799,96460420
3.666,"[M+H]+","Adenosine 3'-monophosphate; LC-ESI-QTOF; MS2; CE",NA,NA,NA,NA,22412571,21755473,11276844,2417440,26383694,16320640,26346307,4623664,5030125,4014255,11869380,4434621,14618511,16132579,33456153,29622408,44099242,69516069,20062721,6097953,35802992,15485703,13550524,10165639,9265346,9968441,8548490,7274795,2998424,2079689
6.644,"[M+H]+","Adenosine 3'-monophosphate; LC-ESI-QTOF; MS2; CE",NA,NA,NA,NA,56848001,56213827,13068,590720,2121024,2131090,3104060,55236036,115413960,87843760,46208040,24174791,62332129,25828,28019431,100449926,19524250,1346520,3936826,3064107,2195784,764304,32030250,112587,2333863,2700120,2500800,2584122,482478,463223
2.369,"[M+H]+","Inosine-5'-monophosphate; LC-ESI-QTOF; MS2; CE",NA,NA,NA,NA,56473669,57940969,81468,NA,26128,30198,NA,303688,142463,97848,71504,NA,NA,62013,31716,NA,34106,137002556,150067461,166934706,164050560,144197192,153119199,104188,NA,23765,54017,24455,NA,NA
1.79,"[M+NH4]+","?-Gentiobiose",NA,5190,5584,4942,68158387,69205331,37983291,178903274,48054758,41311224,48529828,81856111,84357126,113211153,99466841,66725854,173301884,32239768,1118728,5879144,1470838,213044618,263893220,269742522,40223870,59684696,4257662,27879747,254153440,241147788,243870822,242364115,180542740,178863152
1.777,"[M+Na]+","Melibiose",NA,7046,6909,5871,25116424,25440027,10564318,8146538,7615345,24949770,36593414,62658221,48973357,55840828,12785817,9029597,21389493,9738960,1408386,2502641,1394143,25187275,18947246,18507875,9450753,13655094,2560617,1592401,58046123,64030438,58213861,7526984,10865610,8970599
17.064,"[M+H]+","Riboflavin",NA,NA,NA,NA,10541152,11733282,NA,71069,1508382,1781844,1176198,2049248,1489562,1609883,29398543,32322727,31294822,NA,61489951,52671233,66995441,1243100,2159369,999203,6325658,6694445,18164356,NA,12042,NA,7463,NA,99023,91202
10.86,"[M+H]+","S-Adenosyl-homocysteine",NA,NA,NA,NA,111952,81918,83812,NA,73837,84014,34887,3286282,34317,296025,147391,105450,91532,168684,29044,11788,26803113,235252,206022,1390274,84280,101106,100371,38212,105489,80737,76686,92631,13520,13493
9.293,"[M+H]+","S-Adenosyl-homocysteine",NA,NA,NA,NA,6021444,5110886,12552,NA,79525,116710,34887,3286282,6294930,16352,20466,105450,18455,80392,37680241,21802378,26803113,4998794,2376065,1390274,1620347,169978,10454521,38212,156899,198520,154794,125788,12276,11055
25.733,"[M+H]+","Dioctyl Phthalate",2994348,3549025,3738155,3604056,4254900,3011631,2899414,3101359,2881560,3265887,3077486,2937716,2828000,2658954,2753649,2826559,2669466,3480771,3011364,3747457,3499464,3644508,3077159,2842281,2465563,3693652,3414430,3505982,3214524,2916482,3283750,2598228,2988138,3145145
18.395,"[M+NH4]+","2-[2-[(Z)-pent-2-enyl]-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycyclopentyl]acetic acid",NA,11907,30430,11260,1902784,1809142,23248,39606,21897,47439,50238,34828,16956,47873,12434,23424,8603,19406,27379,12528,20554,13308,10207,76680,279212,29213,43502,19780,14375084,14756092,11923644,9908925,77694,43295
9.317,"[M+H]+","Glu-Val-Phe",NA,NA,NA,5891,3681564,3415571,13130,969592,22730,12944,13920,23400,199775,10722,12353,111381,426948,34238265,10487,783877,1929976,12925026,6913576,84118,4708059,4222683,2449474,36339,3122138,3221834,3336107,1973906,11425,12430
10.39,"[M+H]+","Glu-Val-Phe",NA,NA,NA,5891,2761851,2535833,636724,549628,1116768,1238843,1351476,87791,402060,11766,362779,202187,669129,3567264,674822,678103,672985,5080801,3330739,9337369,2532122,2292860,1522588,3385337,1611499,1681199,87223,1146921,1237953,1290185
17.042,"[M+Na]+","(-)-Riboflavin",NA,NA,NA,NA,232538,227962,NA,NA,81769,128700,56593,149690,155035,147897,1823130,2690866,3818322,NA,2443928,3337011,3026287,35776,97854,24534,157809,236173,802376,NA,NA,NA,NA,NA,NA,NA
17.75,"[M+H]+","Leu-Leu-Tyr; LC-ESI-QTOF; MS2; CE",10280,13569,21164,18835,3463413,3348886,3520943,701280,8476077,8926921,12096717,94094,72891,82220,484036,177386,118711,9352549,1031586,447201,659890,2337004,2003512,4989068,1481295,1310864,1116321,8831158,3783204,3607278,3336068,2523670,421672,394518
16.064,"[M+H]+","Leu-Leu-Tyr; LC-ESI-QTOF; MS2; CE",NA,6163,NA,NA,2640583,2681124,11070894,826615,3599754,2980425,3672432,414469,129343,433179,886234,461772,231134,14414095,34540,1158620,1925539,3341076,2317636,2504571,1990318,1782327,1734697,9613767,3095673,2931186,2876186,2305255,3924764,4196169
16.859,"[M+H]+","Leu-Leu-Tyr; LC-ESI-QTOF; MS2; CE",10280,6163,16523,NA,4304984,3678160,1853022,576355,9013456,10459018,10573833,310483,442575,348524,580863,953017,941452,2173481,1970662,576344,1810786,5551140,3358859,2637739,4394825,3848909,1116321,3012047,9316,6274702,5695623,16178,584696,568808
17.261,"[M+H]+","Leu-Leu-Tyr; LC-ESI-QTOF; MS2; CE",10280,6163,21164,18835,3766292,3913076,2516716,576355,13514177,15127789,14189419,746813,4820,859066,2500690,8254,179222,2895394,1240679,496761,730333,7559979,5217068,4934043,6406832,7086712,1830198,680163,7114843,6274702,1575187,5189901,39956,26851
