"Average.Rt.min.","Adduct.type","Metabolite.name","Blank_1","Blank_2","Blank_3","Blank_4","Pool_1","Pool_2","HyPea-7404_1","HyPep-4601N_3","HyPep-7504_1","HyPep-7504_2","HyPep-7504_3","HyPep-YE_1","HyPep-YE_2","HyPep-YE_3","HY-YEST-412_1","HY-YEST-412_2","HY-YEST-412_3","HyPea-7404_2","HY-YEST-466_1","HY-YEST-466_2","HY-YEST-466_3","HY-YEST-503_1","HY-YEST-503_2","HY-YEST-503_3","HY-YEST-555_1","HY-YEST-555_2","HY-YEST-555_3","HyPea-7404_3","HyPep-1510_1","HyPep-1510_2","HyPep-1510_3","HyPep-1510_4","HyPep-4601N_1","HyPep-4601N_2"
9.925,"[M+H]+","Phenylalanine; PlaSMA ID-359",54082,274757,271880,254407,6634471,7773976,618088,4452280,2231832,6008064,1074030,8118376,4636706,2724979,3281440,6575884,5815454,4358392,3960299,7954281,3398510,9567809,2616580,1595303,2226877,6496472,7283335,518116,2371568,2681113,4541739,2184205,1474224,1505839
18.589,"[M+H]+","Phenylalanine; PlaSMA ID-359",182796,380260,318476,318730,3839725,4129901,2553473,4170939,6546744,5328281,5694393,1014553,1392020,1388806,2107828,2195054,1802500,1474465,2291787,2161270,2473867,4078715,3450170,3475274,1924544,2282097,1465979,2395798,5707294,6034397,6320588,5506848,3717280,3771713
4.669,"[M+H]+","Phenylalanine; PlaSMA ID-359",39070,277801,256252,246931,8539587,12557883,3572912,6740365,3408601,4429285,4844805,14436049,14292586,12195457,25055817,24514624,25451791,3700753,24808810,27988919,14145397,4044773,3648946,7092077,5872454,4780071,10304960,8070337,4939877,5640313,4318249,4284714,7458794,6974254
10.323,"[M+H]+","Phenylalanine; PlaSMA ID-359",53213,289876,269661,233856,4705941,5519805,3418819,6062590,6166586,2071490,6634026,2640316,3536102,4708269,5238342,9725824,3134342,4358392,4195690,4838185,4032301,4333013,7019657,2357618,7108044,2228050,2487656,3481315,5019896,2500626,2400090,3858687,1350873,5650734
17.2,"[M+H]+","Phenylalanine; PlaSMA ID-359",158877,347644,330121,279369,4985027,4872024,4555915,5539405,2777772,2053466,1302519,1436910,1522719,1184970,2126545,2133554,3333053,710243,2027851,1733957,2825583,3245029,2449091,2889303,1923400,1719310,1452988,588070,13042170,13337272,13715272,12407165,4461145,3907453
15.783,"[M+H]+","Phenylalanine; PlaSMA ID-359",96176,293321,262624,253973,1714105,1827923,1109714,710241,1955117,1788342,1195671,1990238,1380701,1945428,2423519,2471245,2287533,996458,2865870,2526052,3051217,2440047,1728645,1732429,1809705,1752006,1834002,914247,806726,1171677,1135156,667355,2578026,2092175
11.54,"[M+H]+","Phenylalanine; PlaSMA ID-359",60794,231610,259049,228680,4549339,5020575,2325926,3366560,1364421,8634994,1330781,2958142,2568392,2922683,4093246,6040521,2663832,2858644,7210434,2585549,4759219,2751228,3496439,3563490,1996536,727554,1288763,7131050,10709704,11571918,10603154,2023350,6287977,1208539
3.105,"[M+H]+","Phenylalanine; PlaSMA ID-359",75693,274102,269541,256407,2324171256,1768319644,84831562,1202912701,433084101,353233509,382727924,3276690256,3209616120,2727036712,3395825976,3338968096,3283994944,73366251,3550164960,3597785312,3392409712,123322346,316004481,129993559,574721942,424496170,1792388256,86888674,798901990,781688779,737502080,688578561,1777624628,1736441928
8.813,"[M+H]+","Phenylalanine; PlaSMA ID-359",45357,264122,233898,247959,3581119,4304922,631697,1190517,1001935,1149223,1318267,3349663,13697783,3435723,6466822,6612042,5506690,565831,4016378,4054150,6824926,3042694,1909612,858112,1971073,1938673,2419264,559788,852636,971330,2097275,1879045,1755832,1742971
17.859,"[M+H]+","Phenylalanine; PlaSMA ID-359",175639,355792,306583,269383,923740,2251914,938608,1017508,1327890,1373108,631718,2054181,2707015,1650901,2441255,5030872,1772287,387541,1658790,1771419,1709855,2617743,1994929,2201814,728146,1488804,1267006,5296103,7063422,7449923,7326289,6676268,556954,625766
14.638,"[M+H]+","Phenylalanine; PlaSMA ID-359",76519,277716,261060,252111,3712894,4042298,935808,2346899,1444225,1416957,1068282,4480541,2192576,2140830,1755795,1888087,2616065,721485,2702945,2961290,3159948,1850907,1657336,1725944,1345335,1199195,1358310,3395114,854829,932096,804661,959056,683448,805084
2.165,"[M+H]+","Pyridoxamine",5782,227813,243101,227928,4217857,3456131,1336845,1218211,716112,818306,735181,15421994,13386498,7455862,10531053,10918848,8110108,1610991,8153508,9836431,9257409,6704181,8904214,4618356,2825864,3051678,3596764,670092,5151409,749566,541797,5522492,1899920,2077486
5.538,"[M+H]+","N-Acetylleucine",12478,19302,6570,8050,5522993,4145576,58771,159401,1187468,1522355,850651,3636213,34169329,1051002,7842908,15079570,5196092,50524,1258827,914931,647839,5189205,3260676,1139153,600034,491541,1032605,44121,330909,354183,255854,397760,168274,209832
2.007,"[M+H]+","Gly-Val",15760,29147,14644,18202,64523033,52588966,11285951,128276291,24202282,24070224,24549571,54427674,66814369,45111487,55450484,54932640,63120315,13102946,48254695,48266731,55694077,18562018,16169514,16278812,12498127,10519349,26801160,11729245,128877730,129702575,117210583,104939270,156553644,174537116
1.726,"[M+H]+","Arginine",25283,14046,30194,33070,933515158,841831526,104813536,1291214816,643530253,621963067,552778223,1134336828,1430037246,1087325268,1172564533,969893263,1104496404,124778221,642525201,1025061064,528240862,260411296,376907326,291721005,719191037,620416967,297013398,95093739,1367707211,1344777948,1187069087,1123887290,1712602897,1644621532
18.653,"[M+H]+","Indoleacetic acid; LC-ESI-QTOF; MS2; CE",6468,12582,12835,10443,159500,163090,10543,43200,355389,188532,417264,359524,337686,232153,335197,177070,1365241,8674,116618,60385,270185,220825,175130,217655,28656,62764,50271,19470,131110,162122,67815,71984,122366,245328
1.795,"[M+H]+","Citrulline",11003,5460,6326,6277,33750828,29708553,1361158,658014,4176172,6063888,1769296,61869379,72670996,28746286,29759674,44529309,14177115,1326384,172186771,12353101,36781300,123165725,82245016,112642375,23647256,13008020,56847410,1346321,980831,663748,700176,478430,803789,839163
11.55,"[M+H]+","Phenanthridine; ESI-ITFT; direct injection; MS2; CE",NA,42013,22366,20005,723664,676362,27592,207546,626321,1759090,709958,198980,1175335,174404,3409880,1884675,65539,63434,5391355,790746,1827923,650424,321676,272628,594995,646855,893142,206859,135665,166500,164969,218744,489937,378100
11.095,"[M+H]+","Tyrosine; LC-ESI-QTOF; MS2; CE",5714,73658,75193,58260,1879151,1452571,497433,1727954,238403,740697,399699,829146,1018393,665169,1221593,1030272,993194,528955,1301984,1103579,1559583,1499714,959221,897635,991467,863963,1426341,535474,1175932,974409,800086,765512,522801,606001
3.252,"[M+H]+","Tyrosine; LC-ESI-QTOF; MS2; CE",15970,62038,65458,70909,17582501,12141339,9695900,8617272,4093807,3700042,4138084,57669591,61211509,31320955,22547358,19269113,13279808,10880827,13658967,16122512,20168898,3904500,2308013,3532352,2756948,2304298,12447128,10454267,6223571,4231366,3708917,5297600,9425345,10625210
9.975,"[M+H]+","Tyrosine; LC-ESI-QTOF; MS2; CE",6589,70774,86945,75838,1999787,1536373,585933,864390,264131,392894,247583,1475018,1926741,748840,698192,1032335,1231889,838383,1230086,1474805,1084518,1083783,786526,601489,903642,791356,1503172,765495,1845480,1689329,1323418,1019827,959613,1124827
12.335,"[M+H]+","Tyrosine; LC-ESI-QTOF; MS2; CE",9333,85183,76501,80340,1275220,738693,513354,336955,780502,345196,700785,703733,1059517,786517,1111650,926322,868520,604883,1043036,654285,1355882,271832,356131,1281193,278040,259787,786221,530450,613192,617853,377460,375971,3130398,3054832
5.357,"[M+H]+","Tyrosine; LC-ESI-QTOF; MS2; CE",5044,64431,62460,67608,5464497,4442675,255156,1320910,783726,530587,664862,4628531,4570884,2708521,2789252,3031209,3829097,287836,33693558,6262947,5942499,2277971,2554180,2098373,2723566,3059708,12021826,284093,2433287,1350917,1798870,1590423,1713232,1775318
14.132,"[M+H]+","Tyrosine; LC-ESI-QTOF; MS2; CE",24320,78983,67165,67317,2143495,1863472,448398,3055350,338765,715404,330516,851636,725757,665094,509202,1168959,602544,452920,1063936,912487,1268684,1579151,1354159,1333580,1554956,1807813,1286054,537719,2189825,2084539,1765553,1733125,2777820,2775927
2.735,"[M+H]+","Tyrosine; LC-ESI-QTOF; MS2; CE",7373,65124,76038,75262,249757485,213474115,18092090,234086916,81789024,71962516,78685657,409611702,448502329,353809836,278329840,254556927,265598234,16673740,274231737,269133982,331997342,47085695,99158930,53083932,105179467,82304171,344276958,19256438,143467369,145232603,135671930,137199141,303248237,297067145
6.762,"[M+H]+","Tyrosine; LC-ESI-QTOF; MS2; CE",6192,64299,71651,60977,3036767,2133648,1748900,1233998,2575904,2691516,2763729,3856927,2867976,2674337,2811781,3084398,1804871,2073921,2233971,1738793,3091674,1180403,964571,1685995,616064,729857,1999167,1896617,2205815,2091158,1950997,1707309,1439832,1764427
